timestamp,stock,price,volume,bid_price,ask_price,spread
2025-03-27 09:00:00,ABC,157.93,1223,157.73,158.2,0.47
2025-03-27 09:00:00,ABC,118.84,9437,117.89,119.44,1.55
2025-03-27 09:00:00,ABC,124.86,1490,124.67,125.67,1.0
2025-03-27 09:00:00,ABC,185.11,720,184.36,186.08,1.72
2025-03-27 09:00:00,ABC,154.94,3204,154.6,155.31,0.71
2025-03-27 09:00:00,ABC,119.94,9413,119.54,120.91,1.37
2025-03-27 09:00:00,ABC,135.62,9897,135.39,136.18,0.79
2025-03-27 09:00:00,ABC,186.19,2193,185.8,186.77,0.97
2025-03-27 09:00:00,ABC,107.24,1169,106.26,108.19,1.93
2025-03-27 09:00:00,ABC,192.21,8425,192.07,192.98,0.91
2025-03-27 09:00:00,ABC,141.78,3806,140.87,142.19,1.32
2025-03-27 09:00:00,ABC,167.41,8669,167.15,168.04,0.89
2025-03-27 09:00:00,ABC,140.17,5710,140.0,140.87,0.87
2025-03-27 09:00:00,ABC,149.85,2262,149.28,150.11,0.83
2025-03-27 09:00:00,ABC,132.79,3313,131.9,133.72,1.82
2025-03-27 09:00:01,ABC,121.42,7922,120.97,122.05,1.08
2025-03-27 09:00:01,ABC,101.98,6320,101.68,102.54,0.86
2025-03-27 09:00:01,ABC,120.66,6732,119.94,121.49,1.55
2025-03-27 09:00:01,ABC,143.21,435,143.08,143.96,0.88
2025-03-27 09:00:01,ABC,110.1,6054,109.32,110.21,0.89
2025-03-27 09:00:01,ABC,182.59,7751,182.29,182.9,0.61
2025-03-27 09:00:01,ABC,184.7,2029,184.36,184.85,0.49
2025-03-27 09:00:01,ABC,156.92,3887,156.81,157.7,0.89
2025-03-27 09:00:01,ABC,186.27,1158,186.04,186.57,0.53
2025-03-27 09:00:01,ABC,145.6,4247,145.02,146.17,1.15
2025-03-27 09:00:02,ABC,163.3,2203,163.06,164.1,1.04
2025-03-27 09:00:02,ABC,133.25,5715,133.05,133.73,0.68
2025-03-27 09:00:02,ABC,102.21,7067,101.89,102.82,0.93
2025-03-27 09:00:02,ABC,150.39,2929,150.21,150.7,0.49
2025-03-27 09:00:03,ABC,197.55,9775,197.33,197.74,0.41
2025-03-27 09:00:03,ABC,111.8,6449,110.89,112.57,1.68
2025-03-27 09:00:03,ABC,113.71,7076,112.91,114.37,1.46
