timestamp,stock,price,volume,bid_price,ask_price,spread
2025-03-27 09:00:00,XYZ,181.75,3063,181.04,182.51,1.47
2025-03-27 09:00:00,XYZ,108.18,2838,107.52,108.3,0.78
2025-03-27 09:00:00,XYZ,109.33,9148,108.85,110.0,1.15
2025-03-27 09:00:00,XYZ,150.6,4706,150.09,151.1,1.01
2025-03-27 09:00:00,XYZ,145.13,712,144.23,145.71,1.48
2025-03-27 09:00:00,XYZ,137.37,5007,136.45,138.0,1.55
2025-03-27 09:00:00,XYZ,183.99,6175,183.81,184.23,0.42
2025-03-27 09:00:00,XYZ,175.77,832,174.84,176.76,1.92
2025-03-27 09:00:00,XYZ,133.17,8555,132.54,133.84,1.3
2025-03-27 09:00:01,XYZ,168.89,2908,168.18,169.79,1.61
2025-03-27 09:00:01,XYZ,113.83,299,113.36,113.98,0.62
2025-03-27 09:00:01,XYZ,125.58,2441,124.6,126.28,1.68
2025-03-27 09:00:01,XYZ,151.74,7477,151.4,152.25,0.85
2025-03-27 09:00:01,XYZ,163.83,3259,162.85,164.49,1.64
2025-03-27 09:00:01,XYZ,156.73,1552,156.33,157.62,1.29
2025-03-27 09:00:01,XYZ,169.44,5514,169.32,169.83,0.51
2025-03-27 09:00:01,XYZ,196.42,5874,195.97,197.31,1.34
2025-03-27 09:00:01,XYZ,139.32,1886,138.49,139.94,1.45
2025-03-27 09:00:01,XYZ,101.58,1749,100.97,101.97,1.0
2025-03-27 09:00:01,XYZ,126.39,4222,125.89,127.3,1.41
2025-03-27 09:00:01,XYZ,160.07,6517,159.3,160.67,1.37
2025-03-27 09:00:01,XYZ,140.38,4168,139.93,140.82,0.89
2025-03-27 09:00:01,XYZ,117.86,8230,116.98,118.5,1.52
2025-03-27 09:00:01,XYZ,143.07,6862,142.1,143.72,1.62
2025-03-27 09:00:01,XYZ,135.53,3000,134.67,136.53,1.86
2025-03-27 09:00:01,XYZ,138.08,7740,137.69,138.54,0.85
2025-03-27 09:00:01,XYZ,128.08,4546,127.52,128.2,0.68
2025-03-27 09:00:02,XYZ,121.2,3012,120.4,122.14,1.74
